UTC,input_voltage_mcu,input_voltage_inv,output_voltage_inv,output_current_inv,battery_voltage_inv,temperature_inv,pv_input_voltage,pv_input_current,mppt_output_voltage,mppt_output_current,temperature_mppt,temperature_bat
2021-08-01 00:03:04,225.0,221.4,219.7,0.0,26.8,38.4,0.16,0.0,26.82,0.0,35.69,31.55
2021-08-01 00:08:04,225.0,220.9,219.3,0.0,26.8,38.9,0.35,0.0,26.83,0.0,35.71,31.48
2021-08-01 00:13:04,225.0,220.4,218.9,0.0,26.8,39.3,1.12,0.0,26.84,0.0,35.77,31.47
2021-08-01 00:18:04,225.0,220.8,219.2,0.0,26.8,39.6,0.99,0.0,26.86,0.0,35.82,31.49
2021-08-01 00:23:04,225.0,220.8,219.1,0.0,26.8,39.8,1.26,0.0,26.8,0.0,35.88,31.88
2021-08-01 00:28:05,225.0,221.1,219.5,0.0,26.8,37.5,0.19,0.0,26.79,0.0,35.72,31.8
2021-08-01 00:33:05,225.0,220.7,219.1,0.0,26.8,38.4,1.27,0.0,26.82,0.0,35.67,31.58
2021-08-01 00:38:05,225.0,220.9,219.3,0.0,26.8,38.9,0.24,0.0,26.84,0.0,35.69,31.48
2021-08-01 00:43:05,225.0,221.1,219.5,0.0,26.8,39.2,0.99,0.0,26.85,0.0,35.74,31.48
2021-08-01 00:48:05,225.0,220.9,219.5,0.0,26.8,39.5,0.23,0.0,26.85,0.0,35.79,31.39
2021-08-01 00:53:05,225.0,220.6,219.0,0.0,26.8,39.8,1.04,0.0,26.81,0.0,35.83,31.74
2021-08-01 00:58:06,225.0,222.3,219.9,0.0,26.8,37.5,0.76,0.0,26.79,0.0,35.68,31.76
2021-08-01 01:03:06,225.0,221.0,219.3,0.0,26.8,38.4,1.03,0.0,26.82,0.0,35.61,31.48
2021-08-01 01:08:06,225.0,221.5,220.1,0.0,26.8,38.8,1.06,0.0,26.84,0.0,35.64,31.4
2021-08-01 01:13:06,225.0,222.0,220.5,0.0,26.8,39.2,1.19,0.0,26.85,0.0,35.68,31.4
2021-08-01 01:18:06,225.0,221.9,220.2,0.0,26.8,39.5,0.5,0.0,26.85,0.0,35.73,31.37
2021-08-01 01:23:06,226.27777777777783,221.6,220.7,0.0,26.8,39.7,1.51,0.0,26.83,0.0,35.78,31.66
2021-08-01 01:28:06,225.0,222.4,220.7,0.0,26.8,37.6,0.25,0.0,26.79,0.0,35.63,31.74
2021-08-01 01:33:07,226.27777777777783,222.9,221.4,0.0,26.8,38.4,0.18,0.0,26.83,0.0,35.59,31.45
2021-08-01 01:38:07,226.27777777777783,223.3,222.4,0.0,26.8,38.9,0.76,0.0,26.84,0.0,35.6,31.38
2021-08-01 01:43:07,226.27777777777783,223.1,221.5,0.0,26.8,39.2,0.61,0.0,26.84,0.0,35.65,31.35
2021-08-01 01:48:07,226.27777777777783,223.4,221.0,0.0,26.8,39.5,1.36,0.0,26.84,0.0,35.72,31.32
2021-08-01 01:53:07,225.0,223.1,221.4,0.0,26.8,39.7,0.63,0.0,26.85,0.0,35.78,31.5
2021-08-01 01:58:07,225.0,223.4,221.7,0.0,26.8,37.7,0.65,0.0,26.8,0.0,35.63,31.7
2021-08-01 02:03:08,225.0,223.4,221.8,0.0,26.8,38.4,0.81,0.0,26.82,0.0,35.56,31.4
2021-08-01 02:08:08,226.27777777777783,222.9,221.0,0.0,26.8,38.8,1.16,0.0,26.84,0.0,35.59,31.35
2021-08-01 02:13:08,226.27777777777783,223.5,222.0,0.0,26.8,39.2,0.23,0.0,26.85,0.0,35.63,31.32
2021-08-01 02:18:08,225.0,223.0,221.3,0.0,26.8,39.5,1.37,0.0,26.84,0.0,35.69,31.31
2021-08-01 02:23:08,225.0,222.7,221.2,0.0,26.8,39.7,1.32,0.0,26.87,0.0,35.75,31.44
2021-08-01 02:28:08,225.0,223.9,222.2,0.0,26.8,37.8,1.76,0.0,26.79,0.0,35.61,31.65
