UTC,input_voltage_mcu,input_voltage_inv,output_voltage_inv,output_current_inv,battery_voltage_inv,temperature_inv,pv_input_voltage,pv_input_current,mppt_output_voltage,mppt_output_current,temperature_mppt,temperature_bat
2021-08-01 12:21:17,0.0,,,,,,73.1,0.47,22.82,1.53,36.01,29.06
2021-08-01 12:26:17,0.0,,229.6,5.309734513274336,22.6,36.3,73.79,0.52,22.79,1.66,35.85,29.03
2021-08-01 12:31:18,0.0,,229.7,6.63716814159292,22.6,36.4,68.67,0.46,22.97,1.35,35.72,28.91
2021-08-01 12:36:18,0.0,,229.7,0.0,22.8,35.7,71.24,0.44,22.84,1.41,35.68,28.31
2021-08-01 12:41:18,221.27777777777783,,229.6,5.309734513274336,22.6,36.1,24.72,0.5,23.36,0.5,35.22,28.18
2021-08-01 12:46:18,209.7777777777778,227.1,224.4,7.627118644067796,23.6,35.7,25.7,0.44,24.3,0.58,34.67,28.98
2021-08-01 12:51:18,207.22222222222226,226.4,223.8,6.198347107438017,24.2,34.5,25.61,0.58,24.27,0.41,34.05,28.98
2021-08-01 12:56:18,212.33333333333334,223.2,220.6,6.25,24.0,34.0,25.62,0.17,24.31,0.43,33.53,28.94
2021-08-01 13:01:18,209.7777777777778,223.3,223.4,7.43801652892562,24.2,33.7,25.6,0.21,24.3,0.19,33.19,28.97
2021-08-01 13:06:18,208.50000000000003,222.7,221.8,6.198347107438017,24.2,33.7,25.78,0.17,24.38,0.21,32.96,28.98
2021-08-01 13:11:18,208.50000000000003,223.5,219.8,6.198347107438017,24.2,33.6,25.72,0.19,24.4,0.15,32.77,28.99
2021-08-01 13:16:18,211.05555555555557,222.4,219.6,6.198347107438017,24.2,33.7,25.79,0.19,24.34,0.24,32.63,28.88
2021-08-01 13:21:18,205.94444444444449,221.1,220.5,6.198347107438017,24.2,33.5,25.75,0.38,24.45,0.21,32.47,28.7
2021-08-01 13:26:19,207.22222222222226,218.8,220.2,7.43801652892562,24.2,33.4,25.95,0.35,24.49,0.52,32.36,28.63
2021-08-01 13:31:19,209.7777777777778,217.9,220.4,6.198347107438017,24.2,33.3,26.03,0.39,24.52,0.76,32.23,28.69
2021-08-01 13:36:19,207.22222222222226,223.9,216.2,6.147540983606557,24.4,33.4,26.05,0.47,24.67,0.48,32.2,28.75
2021-08-01 13:41:19,205.94444444444449,222.8,220.6,7.3770491803278695,24.4,33.2,26.04,0.81,24.65,0.66,32.15,28.71
2021-08-01 13:46:19,203.38888888888889,219.7,216.2,6.147540983606557,24.4,33.4,26.21,0.75,24.61,1.01,32.16,28.72
2021-08-01 13:51:19,204.66666666666666,225.0,215.1,6.147540983606557,24.4,33.4,25.68,1.31,24.72,1.35,32.15,28.78
2021-08-01 13:56:19,202.11111111111111,220.2,215.5,8.536585365853657,24.6,33.5,25.75,1.08,24.76,0.94,32.03,28.7
2021-08-01 14:01:20,198.2777777777778,218.6,215.9,8.536585365853657,24.6,33.5,26.41,1.11,24.83,0.91,32.08,28.72
2021-08-01 14:06:20,203.38888888888889,217.6,216.3,7.317073170731707,24.6,33.5,26.45,1.17,24.86,1.07,32.15,28.78
2021-08-01 14:11:20,198.2777777777778,219.1,220.7,8.536585365853657,24.6,33.4,26.32,1.27,24.87,1.54,32.1,28.92
2021-08-01 14:16:20,199.55555555555557,217.4,214.8,8.46774193548387,24.8,33.6,26.07,1.49,24.87,1.49,32.07,28.99
2021-08-01 14:21:20,197.00000000000003,192.9,191.6,14.634146341463413,24.6,33.5,26.12,1.59,24.91,1.47,32.12,29.09
2021-08-01 14:26:20,198.2777777777778,190.4,189.6,14.516129032258064,24.8,33.7,76.04,1.33,24.98,4.04,33.16,29.04
2021-08-01 14:31:21,195.72222222222226,191.5,190.1,14.516129032258064,24.8,33.4,74.16,1.12,24.99,3.48,34.06,28.97
2021-08-01 14:36:21,0.0,,229.7,17.796610169491526,23.6,33.1,73.84,0.68,23.63,2.22,34.32,28.89
2021-08-01 14:41:21,0.0,,229.9,5.084745762711864,23.6,34.2,75.33,1.21,23.86,3.97,35.0,28.59
2021-08-01 14:46:21,0.0,,229.9,6.3559322033898304,23.6,34.7,79.31,1.12,23.82,3.95,35.82,28.47
2021-08-01 14:51:21,0.0,,229.9,0.0,23.6,35.0,76.81,1.03,23.79,3.1,36.17,28.67
2021-08-01 14:56:21,200.83333333333334,,229.7,5.128205128205129,23.4,34.8,77.43,0.61,24.6,1.99,36.25,28.84
2021-08-01 15:01:22,0.0,192.3,191.1,6.097560975609756,24.6,33.8,48.24,0.47,24.02,0.91,35.48,28.38
2021-08-01 15:06:22,0.0,,229.6,0.0,23.6,34.5,25.22,0.51,23.78,0.55,34.55,27.56
2021-08-01 15:11:22,0.0,,229.6,0.0,23.6,34.8,25.2,0.62,23.74,0.63,34.4,27.31
2021-08-01 15:16:22,202.11111111111111,,229.7,0.0,23.4,35.1,26.24,0.97,24.72,0.94,34.28,28.1
2021-08-01 15:21:22,200.83333333333334,195.5,194.2,0.0,24.6,32.9,26.37,1.0,24.85,1.02,33.77,28.04
2021-08-01 15:26:22,200.83333333333334,195.4,194.0,0.0,24.6,32.3,75.26,0.7,24.92,2.2,33.75,27.94
2021-08-01 15:31:23,203.38888888888889,200.5,199.3,0.0,24.8,31.8,74.67,0.82,24.97,2.57,34.39,27.95
2021-08-01 15:36:23,0.0,196.1,194.8,4.838709677419355,24.8,31.7,70.65,0.98,24.16,2.91,34.45,28.06
2021-08-01 15:41:23,0.0,,229.9,0.0,24.0,32.4,73.89,0.98,24.24,2.88,34.82,27.94
2021-08-01 15:46:23,0.0,,229.6,0.0,24.0,33.0,76.82,0.84,24.23,2.78,35.39,27.7
2021-08-01 15:51:23,0.0,,229.7,0.0,24.0,33.4,75.65,0.72,24.2,2.33,35.81,27.56
2021-08-01 15:56:23,0.0,,229.7,0.0,24.0,33.8,75.03,0.72,24.19,2.31,36.1,27.61
2021-08-01 16:01:23,200.83333333333334,197.5,196.3,0.0,24.6,33.0,76.41,0.71,25.0,2.11,36.26,28.13
2021-08-01 16:06:24,0.0,196.2,194.9,0.0,24.8,32.3,74.18,0.71,24.39,2.13,35.89,27.9
2021-08-01 16:11:24,0.0,,229.6,0.0,24.0,33.1,72.74,0.67,24.26,1.95,35.97,27.54
2021-08-01 16:16:24,0.0,,229.7,0.0,24.0,33.6,74.87,0.52,24.21,1.65,36.09,27.4
