UTC,input_voltage_mcu,input_voltage_inv,output_voltage_inv,output_current_inv,battery_voltage_inv,temperature_inv,pv_input_voltage,pv_input_current,mppt_output_voltage,mppt_output_current,temperature_mppt,temperature_bat
2021-08-01 00:02:59,0.0,0.0,229.7,0.0,25.4,32.7,1.59,0.0,25.42,0.0,29.55,25.37
2021-08-01 00:08:00,0.0,0.0,229.7,0.0,25.4,33.3,1.28,0.0,25.4,0.0,29.82,25.28
2021-08-01 00:13:00,0.0,0.0,229.8,0.0,25.2,33.9,0.58,0.0,25.39,0.0,30.08,25.27
2021-08-01 00:18:00,0.0,0.0,229.7,0.0,25.2,34.4,1.61,0.0,25.37,0.0,30.34,25.24
2021-08-01 00:23:00,0.0,0.0,229.6,0.0,25.2,34.8,0.24,0.0,25.33,0.0,30.49,25.79
2021-08-01 00:28:00,0.0,0.0,229.6,0.0,25.2,33.4,2.91,0.0,25.32,0.0,30.55,25.38
2021-08-01 00:33:00,0.0,0.0,229.8,0.0,25.2,34.2,2.93,0.0,25.32,0.0,30.69,25.24
2021-08-01 00:38:00,0.0,0.0,229.6,0.0,25.2,34.7,1.71,0.0,25.33,0.0,30.85,25.07
2021-08-01 00:43:01,0.0,0.0,229.6,0.0,25.2,35.1,1.38,0.0,25.32,0.0,30.92,24.5
2021-08-01 00:48:01,0.0,0.0,229.7,0.0,25.2,35.3,0.53,0.0,25.31,0.0,31.06,24.82
2021-08-01 00:53:01,0.0,0.0,229.9,0.0,25.2,35.6,0.28,0.0,25.27,0.0,31.12,25.49
2021-08-01 00:58:01,0.0,0.0,229.7,0.0,25.2,33.9,0.69,0.0,25.26,0.0,31.08,25.29
2021-08-01 01:03:01,0.0,0.0,229.7,0.0,25.2,34.6,0.22,0.0,25.24,0.0,31.13,24.79
2021-08-01 01:08:01,0.0,0.0,229.7,0.0,25.2,35.0,2.7,0.0,25.25,0.0,31.21,24.96
2021-08-01 01:13:01,0.0,0.0,229.7,6.048387096774193,24.8,35.4,2.59,0.0,24.91,0.0,31.32,25.1
2021-08-01 01:18:02,0.0,0.0,229.7,6.048387096774193,24.8,35.8,0.27,0.0,24.86,0.0,31.42,25.03
2021-08-01 01:23:02,0.0,0.0,229.7,6.048387096774193,24.8,36.1,1.12,0.0,24.86,0.0,31.43,25.47
2021-08-01 01:28:02,0.0,0.0,229.7,4.838709677419355,24.8,34.4,1.75,0.0,24.84,0.0,31.32,25.12
2021-08-01 01:33:02,0.0,0.0,229.6,6.048387096774193,24.8,35.1,2.02,0.0,24.8,0.0,31.35,25.08
2021-08-01 01:38:02,0.0,0.0,229.6,6.097560975609756,24.6,35.6,0.98,0.0,24.8,0.0,31.4,24.87
2021-08-01 01:43:02,0.0,0.0,229.7,4.878048780487805,24.6,35.9,2.96,0.0,24.74,0.0,31.48,25.13
2021-08-01 01:48:03,0.0,0.0,229.7,4.878048780487805,24.6,36.2,0.33,0.0,24.72,0.0,31.56,25.0
2021-08-01 01:53:03,0.0,0.0,229.8,4.878048780487805,24.6,36.5,2.99,0.0,24.7,0.0,31.56,25.43
2021-08-01 01:58:03,0.0,0.0,229.7,4.878048780487805,24.6,34.6,1.16,0.0,24.7,0.0,31.43,25.14
2021-08-01 02:03:03,0.0,0.0,229.7,4.878048780487805,24.6,35.2,1.55,0.0,24.66,0.0,31.44,25.01
2021-08-01 02:08:03,0.0,0.0,229.7,4.878048780487805,24.6,35.8,0.68,0.0,24.65,0.0,31.52,24.98
2021-08-01 02:13:03,0.0,0.0,229.6,4.878048780487805,24.6,36.2,1.68,0.0,24.63,0.0,31.59,24.93
2021-08-01 02:18:04,0.0,0.0,229.7,4.878048780487805,24.6,36.5,2.94,0.0,24.58,0.0,31.65,24.98
2021-08-01 02:23:04,0.0,0.0,229.9,4.918032786885246,24.4,35.2,2.45,0.0,24.58,0.0,31.62,25.19
2021-08-01 02:28:04,0.0,0.0,229.7,4.918032786885246,24.4,34.6,0.28,0.0,24.54,0.0,31.45,24.95
2021-08-01 02:33:04,0.0,0.0,229.7,4.918032786885246,24.4,35.3,1.09,0.0,24.53,0.0,31.48,24.87
2021-08-01 02:38:04,0.0,0.0,229.6,4.918032786885246,24.4,35.8,2.94,0.0,24.48,0.0,31.52,24.91
2021-08-01 02:43:04,0.0,0.0,229.8,4.918032786885246,24.4,36.0,1.54,0.0,24.47,0.0,31.46,24.21
2021-08-01 02:48:04,0.0,0.0,229.6,4.918032786885246,24.4,36.1,0.44,0.0,24.47,0.0,31.44,24.5
2021-08-01 02:53:05,0.0,0.0,229.9,4.918032786885246,24.4,33.3,2.09,0.0,24.44,0.0,31.44,25.03
2021-08-01 02:58:05,0.0,0.0,229.7,4.918032786885246,24.4,34.3,1.43,0.0,24.41,0.0,31.29,24.96
2021-08-01 03:03:05,0.0,0.0,229.7,4.918032786885246,24.4,35.0,0.28,0.0,24.36,0.0,31.32,24.9
2021-08-01 03:08:05,0.0,0.0,229.7,4.958677685950414,24.2,35.5,1.28,0.0,24.37,0.0,31.38,24.88
2021-08-01 03:13:05,0.0,0.0,229.8,4.958677685950414,24.2,35.9,0.5,0.0,24.32,0.0,31.45,24.92
2021-08-01 03:18:05,0.0,0.0,229.7,4.958677685950414,24.2,36.2,2.77,0.0,24.32,0.0,31.53,24.86
2021-08-01 03:22:26,0.0,,,,,,0.21,0.0,24.63,0.0,31.55,24.69
2021-08-01 03:27:26,0.0,0.0,0.4,0.0,24.6,35.4,3.09,0.0,24.26,0.0,31.58,24.84
2021-08-01 03:32:26,0.0,0.0,229.7,4.958677685950414,24.2,36.1,2.84,0.0,24.23,0.0,31.62,24.66
2021-08-01 03:37:26,0.0,0.0,229.7,4.958677685950414,24.2,36.4,1.16,0.0,24.21,0.0,31.63,24.26
2021-08-01 03:42:27,0.0,0.0,229.7,4.958677685950414,24.2,36.5,1.55,0.0,24.21,0.0,31.61,24.28
2021-08-01 03:47:27,0.0,0.0,229.7,4.958677685950414,24.2,36.6,3.12,0.0,24.18,0.0,31.66,24.64
2021-08-01 03:52:27,0.0,0.0,229.7,5.0,24.0,36.7,1.51,0.0,24.13,0.0,31.69,25.08
2021-08-01 03:57:27,0.0,0.0,229.8,5.0,24.0,33.7,3.11,0.0,24.13,0.0,31.57,24.9
2021-08-01 04:02:27,0.0,0.0,229.6,5.0,24.0,35.6,2.94,0.0,24.1,0.0,31.57,24.81
2021-08-01 04:07:27,0.0,0.0,229.7,5.0,24.0,36.0,1.27,0.0,24.07,0.0,31.61,24.8
2021-08-01 04:12:27,0.0,0.0,229.7,5.0,24.0,36.4,2.59,0.0,24.04,0.0,31.65,24.84
2021-08-01 04:17:27,0.0,0.0,229.6,5.0,24.0,36.6,0.7,0.0,24.04,0.0,31.7,24.82
2021-08-01 04:22:27,0.0,0.0,229.7,5.0,24.0,36.8,1.26,0.0,23.98,0.0,31.68,25.0
2021-08-01 04:27:27,0.0,0.0,229.7,5.0,24.0,34.1,2.35,0.0,23.99,0.0,31.55,24.81
2021-08-01 04:32:27,0.0,0.0,229.6,5.0,24.0,35.6,0.61,0.0,23.95,0.0,31.54,24.76
2021-08-01 04:37:28,0.0,0.0,229.6,5.042016806722689,23.8,35.9,2.74,0.0,23.9,0.0,31.58,24.76
2021-08-01 04:42:28,0.0,0.0,229.7,5.042016806722689,23.8,36.3,1.01,0.0,23.91,0.0,31.61,24.74
2021-08-01 04:47:28,0.0,0.0,229.7,5.042016806722689,23.8,36.6,0.37,0.0,23.85,0.0,31.66,24.7
2021-08-01 04:52:28,0.0,0.0,229.6,5.042016806722689,23.8,36.8,3.3,0.0,23.81,0.0,31.66,24.97
2021-08-01 04:57:28,0.0,0.0,229.7,5.042016806722689,23.8,34.4,1.56,0.0,23.8,0.0,31.49,24.71
2021-08-01 05:02:28,0.0,0.0,229.7,5.042016806722689,23.8,35.6,9.21,0.0,23.77,0.0,31.48,24.64
2021-08-01 05:07:29,0.0,0.0,229.6,5.042016806722689,23.8,36.0,24.66,0.0,23.73,0.0,31.53,24.56
2021-08-01 05:12:29,0.0,0.0,229.7,5.084745762711864,23.6,36.3,24.89,0.0,23.74,0.0,32.17,24.62
2021-08-01 05:17:29,0.0,0.0,229.7,6.3559322033898304,23.6,36.5,24.91,0.0,23.7,0.0,32.46,24.57
2021-08-01 05:22:29,0.0,0.0,229.6,5.084745762711864,23.6,36.6,24.85,0.01,23.67,0.0,32.61,24.72
2021-08-01 05:27:29,0.0,0.0,229.6,5.084745762711864,23.6,34.4,24.84,0.0,23.61,0.01,32.5,24.57
2021-08-01 05:32:29,0.0,0.0,229.6,5.084745762711864,23.6,35.3,24.85,0.05,23.6,0.06,32.59,24.58
2021-08-01 05:37:29,0.0,0.0,229.7,5.084745762711864,23.6,35.7,24.85,0.07,23.6,0.08,32.69,24.55
2021-08-01 05:42:30,0.0,0.0,229.7,5.084745762711864,23.6,36.1,24.85,0.14,23.58,0.07,32.81,24.68
2021-08-01 05:47:30,0.0,0.0,229.7,5.128205128205129,23.4,36.3,24.85,0.02,23.54,0.08,32.94,24.58
2021-08-01 05:52:30,0.0,0.0,229.6,5.128205128205129,23.4,36.6,24.82,0.13,23.5,0.13,32.99,24.82
2021-08-01 05:57:30,0.0,0.0,229.8,5.128205128205129,23.4,33.8,24.78,0.18,23.49,0.2,32.87,24.61
2021-08-01 06:02:30,0.0,0.0,229.7,5.128205128205129,23.4,34.8,25.15,0.22,23.8,0.16,32.89,24.69
2021-08-01 06:07:30,0.0,0.0,229.8,0.0,23.8,35.4,25.16,0.25,23.81,0.25,32.97,24.67
2021-08-01 06:12:31,0.0,0.0,229.8,0.0,23.8,35.7,25.22,0.29,23.83,0.28,33.07,24.42
2021-08-01 06:17:31,0.0,0.0,229.7,0.0,23.8,35.9,25.25,0.41,23.85,0.38,33.13,24.65
2021-08-01 06:22:31,0.0,0.0,229.7,0.0,23.8,36.1,25.23,0.49,23.83,0.5,33.04,24.61
2021-08-01 06:27:31,0.0,0.0,229.6,0.0,23.8,33.6,25.27,0.51,23.87,0.51,32.86,24.35
2021-08-01 06:32:31,0.0,0.0,229.6,0.0,23.8,34.3,25.29,0.42,23.87,0.47,32.67,24.18
2021-08-01 06:37:31,0.0,0.0,229.7,0.0,23.8,34.4,25.3,0.43,23.85,0.5,32.51,24.1
2021-08-01 06:42:32,0.0,0.0,229.8,0.0,23.8,34.4,25.3,0.54,23.88,0.49,32.53,24.23
2021-08-01 06:47:32,0.0,0.0,229.8,0.0,23.8,34.6,25.31,0.49,23.86,0.55,32.48,24.27
2021-08-01 06:52:32,0.0,0.0,229.8,0.0,23.8,34.3,25.29,0.64,23.84,0.72,32.41,24.66
2021-08-01 06:57:32,0.0,0.0,229.6,0.0,23.8,32.7,25.43,0.8,23.9,0.92,32.25,24.48
2021-08-01 07:02:32,0.0,0.0,229.7,0.0,23.8,33.3,25.44,0.81,23.9,1.0,32.33,24.67
2021-08-01 07:07:32,0.0,0.0,229.8,0.0,23.8,33.8,24.94,1.26,23.96,1.37,32.43,24.74
2021-08-01 07:12:33,0.0,0.0,229.9,0.0,24.2,34.3,78.75,1.42,24.52,4.65,33.93,24.77
2021-08-01 07:17:33,0.0,0.0,229.9,0.0,24.6,34.8,81.13,1.77,24.79,5.72,35.06,24.79
2021-08-01 07:22:33,0.0,0.0,229.9,0.0,24.8,34.6,80.38,1.93,24.84,6.17,35.52,25.12
2021-08-01 07:27:33,0.0,0.0,229.7,0.0,24.8,33.0,81.34,1.72,24.83,5.69,35.85,25.34
2021-08-01 07:32:33,0.0,0.0,229.6,0.0,24.8,33.8,79.93,1.68,24.79,5.46,36.15,25.42
2021-08-01 07:37:33,0.0,0.0,229.7,0.0,24.6,34.3,78.71,1.35,24.7,4.28,36.24,25.6
2021-08-01 07:42:33,0.0,0.0,229.7,0.0,24.6,34.5,79.02,1.44,24.74,4.54,36.29,25.15
2021-08-01 07:47:34,0.0,0.0,229.8,0.0,24.8,34.7,79.42,2.15,24.95,7.04,36.77,25.27
2021-08-01 07:52:34,0.0,0.0,229.7,0.0,24.6,34.9,76.61,1.18,24.71,3.61,36.87,25.56
2021-08-01 07:57:34,0.0,0.0,229.6,0.0,24.8,33.4,76.46,2.0,24.9,6.18,36.57,25.34
2021-08-01 08:02:34,0.0,0.0,229.8,0.0,25.0,33.5,79.02,2.81,25.15,9.0,36.83,25.44
2021-08-01 08:07:34,0.0,0.0,229.7,0.0,25.2,33.5,79.74,3.02,25.26,9.43,37.6,25.66
2021-08-01 08:12:34,0.0,0.0,229.8,0.0,25.2,33.7,78.85,3.12,25.31,9.77,37.62,25.79
2021-08-01 08:17:35,0.0,0.0,229.6,0.0,25.0,33.6,77.45,2.85,25.28,8.78,37.89,25.91
2021-08-01 08:22:35,0.0,0.0,229.8,0.0,25.2,33.3,76.69,3.43,25.39,10.33,38.24,26.42
