UTC,input_voltage_mcu,input_voltage_inv,output_voltage_inv,output_current_inv,battery_voltage_inv,temperature_inv,pv_input_voltage,pv_input_current,mppt_output_voltage,mppt_output_current,temperature_mppt,temperature_bat
2021-08-05 10:22:43,0.0,,,,,,2.16,0.0,23.52,0.0,34.56,28.59
2021-08-05 10:28:15,0.0,,,,,,2.17,0.0,24.23,0.0,34.31,28.37
2021-08-05 10:33:15,0.0,,,0.0,24.2,35.3,42.59,3.2,23.7,5.72,34.28,29.64
2021-08-05 10:38:15,0.0,,229.6,15.384615384615385,23.4,35.4,77.86,2.83,23.79,9.49,37.25,29.46
2021-08-05 10:43:15,0.0,,229.8,15.254237288135592,23.6,36.1,76.98,2.83,23.7,9.27,38.19,29.64
2021-08-05 10:48:15,0.0,,229.8,15.384615384615385,23.4,36.8,77.69,2.19,23.62,7.83,38.63,29.73
2021-08-05 10:53:15,0.0,,229.8,15.384615384615385,23.4,37.4,72.68,2.3,23.56,7.4,38.78,29.73
2021-08-05 10:58:15,0.0,,229.8,15.384615384615385,23.4,37.8,66.19,2.23,23.64,5.66,38.56,29.52
2021-08-05 11:03:15,0.0,,229.8,12.820512820512821,23.4,35.5,73.91,1.07,23.5,3.64,38.33,29.41
2021-08-05 11:08:16,0.0,,229.9,11.63793103448276,23.2,36.5,76.52,1.21,23.67,3.99,38.6,29.39
2021-08-05 11:13:16,0.0,,229.8,7.627118644067796,23.6,37.0,74.07,0.69,23.62,2.31,38.69,29.31
2021-08-05 11:18:16,0.0,,229.7,6.410256410256411,23.4,37.3,71.42,0.96,23.66,2.61,38.78,29.23
2021-08-05 11:23:16,0.0,,229.7,6.410256410256411,23.4,37.5,74.0,1.08,23.64,3.26,39.11,29.18
2021-08-05 11:28:16,0.0,,229.9,6.410256410256411,23.4,37.7,75.56,1.07,23.76,3.51,39.5,29.11
2021-08-05 11:33:16,0.0,,229.8,0.0,23.6,34.7,76.86,1.23,23.88,3.99,39.6,29.11
2021-08-05 11:38:16,0.0,,229.5,0.0,23.6,36.1,75.7,1.09,23.79,3.78,39.59,29.1
2021-08-05 11:43:16,0.0,,229.9,0.0,23.6,36.6,75.44,1.32,23.85,4.08,39.6,29.07
