UTC,input_voltage_mcu,input_voltage_inv,output_voltage_inv,output_current_inv,battery_voltage_inv,temperature_inv,pv_input_voltage,pv_input_current,mppt_output_voltage,mppt_output_current,temperature_mppt,temperature_bat
2021-08-01 00:03:03,211.16666666666669,215.8,213.8,0.0,25.6,31.4,1.51,0.0,25.83,0.0,31.3,27.24
2021-08-01 00:08:03,209.8888888888889,214.6,212.4,0.0,25.6,31.4,0.35,0.0,25.86,0.0,31.31,27.22
2021-08-01 00:13:03,209.8888888888889,216.2,214.2,0.0,25.6,31.4,3.6,0.0,25.91,0.0,31.32,27.17
2021-08-01 00:18:04,209.8888888888889,214.3,212.0,0.0,25.6,31.3,1.98,0.0,25.95,0.0,31.32,27.18
2021-08-01 00:23:04,211.16666666666669,216.1,214.0,0.0,25.6,31.3,0.29,0.0,26.0,0.0,31.31,27.21
2021-08-01 00:28:04,211.16666666666669,215.0,212.8,0.0,25.8,31.3,0.39,0.0,26.06,0.0,31.3,27.16
2021-08-01 00:33:04,209.8888888888889,214.9,212.9,0.0,25.8,31.2,2.83,0.0,26.07,0.0,31.3,27.18
2021-08-01 00:38:04,212.44444444444446,215.6,213.4,0.0,25.8,31.3,4.04,0.0,26.13,0.0,31.29,27.14
2021-08-01 00:43:04,211.16666666666669,216.6,214.7,0.0,25.8,31.3,2.04,0.0,26.12,0.0,31.27,27.16
2021-08-01 00:48:04,211.16666666666669,217.2,215.0,0.0,25.8,31.2,0.76,0.0,26.22,0.0,31.27,27.15
2021-08-01 00:53:04,212.44444444444446,217.1,214.9,0.0,26.0,31.2,1.27,0.0,26.23,0.0,31.25,27.16
2021-08-01 00:58:04,211.16666666666669,217.0,214.8,0.0,26.0,31.2,0.59,0.0,26.3,0.0,31.25,27.13
2021-08-01 01:03:04,211.16666666666669,216.2,213.9,0.0,26.0,31.2,4.05,0.0,26.33,0.0,31.23,27.08
2021-08-01 01:08:04,211.16666666666669,216.2,214.6,0.0,26.0,31.1,3.24,0.0,26.38,0.0,31.22,27.08
2021-08-01 01:13:05,212.44444444444446,214.4,212.2,0.0,26.0,31.0,0.41,0.0,26.36,0.0,31.2,27.08
2021-08-01 01:18:05,212.44444444444446,216.0,213.9,0.0,26.2,31.0,0.34,0.0,26.49,0.0,31.19,27.09
2021-08-01 01:23:05,212.44444444444446,218.0,215.9,0.0,26.2,31.0,1.59,0.0,26.55,0.0,31.18,27.0
2021-08-01 01:28:05,212.44444444444446,217.4,215.2,0.0,26.2,31.1,1.19,0.0,26.58,0.0,31.17,27.03
2021-08-01 01:33:05,212.44444444444446,217.4,214.3,0.0,26.4,31.0,1.38,0.0,26.63,0.0,31.15,27.02
2021-08-01 01:38:05,211.16666666666669,217.7,215.4,0.0,26.4,31.0,3.87,0.0,26.71,0.0,31.14,27.03
2021-08-01 01:43:05,212.44444444444446,215.9,213.6,0.0,26.4,31.0,1.57,0.0,26.77,0.0,31.13,27.01
2021-08-01 01:48:05,209.8888888888889,216.4,214.7,0.0,26.6,31.0,0.46,0.0,26.87,0.0,31.13,27.02
2021-08-01 01:53:05,208.61111111111114,217.2,215.0,0.0,26.6,31.0,3.5,0.0,26.95,0.0,31.13,27.01
2021-08-01 01:58:05,208.61111111111114,210.4,208.1,0.0,26.6,31.0,2.56,0.0,27.01,0.0,31.12,26.97
2021-08-01 02:03:05,208.61111111111114,212.5,210.3,0.0,26.2,31.0,1.41,0.0,27.01,0.0,31.12,26.97
2021-08-01 02:08:05,208.61111111111114,213.3,211.0,0.0,26.8,30.9,0.45,0.0,27.01,0.0,31.12,26.95
2021-08-01 02:13:05,207.33333333333334,211.6,208.7,0.0,26.8,30.8,3.02,0.0,27.02,0.0,31.12,26.96
2021-08-01 02:18:06,206.05555555555557,209.7,207.3,0.0,26.4,31.1,0.5,0.0,27.01,0.0,31.12,26.99
2021-08-01 02:23:06,207.33333333333334,210.4,208.2,0.0,26.8,30.5,3.61,0.0,27.02,0.0,31.11,26.94
2021-08-01 02:28:06,207.33333333333334,210.6,208.5,0.0,26.8,30.3,0.31,0.0,27.02,0.0,31.1,26.93
2021-08-01 02:33:06,208.61111111111114,211.4,209.3,0.0,26.8,31.1,2.0,0.0,27.04,0.0,31.11,26.92
2021-08-01 02:38:06,208.61111111111114,211.3,209.1,0.0,26.8,34.2,3.5,0.0,27.09,0.0,31.26,26.91
2021-08-01 02:43:06,208.61111111111114,210.4,208.1,0.0,26.8,36.3,2.79,0.0,27.11,0.0,31.47,26.87
2021-08-01 02:48:06,211.16666666666669,214.7,212.4,0.0,26.8,37.8,2.49,0.0,27.12,0.0,31.71,26.85
2021-08-01 02:53:06,208.61111111111114,212.6,210.4,0.0,26.8,39.0,3.34,0.0,27.14,0.0,31.96,26.89
